Extracted Triples,Timestamp
"(man, built, house), (man, planted, garden)",2025-10-19 21:22:05
"(book, was written by, Mark Twain), (book, was published in, 1884), (book, is, a classic)",2025-11-26 01:00:53
"(cake, was baked by, chef), (cake, was served to, guests), (cake, was, delicious)",2025-06-06 06:07:24
"(teacher, explained, lesson), (teacher, assigned, homework), (teacher, answered, questions)",2025-08-12 02:28:39
"(company, launched, product), (company, was founded, 1998)",2025-08-25 21:16:53
"(dog, barked at, stranger), (dog, chased, stranger), (stranger, belongs to, dog)",2025-03-14 03:57:47
"(artist, painted, picture), (artist, exhibited, picture)",2025-04-28 22:10:14
"(scientist, conducted, experiments), (scientist, published, results), (results, published in, journal)",2025-12-19 15:11:45
"(chef, prepared, meal), (chef, baked, cake), (chef, served, coffee)",2025-09-12 16:22:39
"(student, studied for, exam), (student, wrote, essay), (student, submitted, essay), (essay, belongs to, student), (essay, submitted to, professor)",2025-12-14 13:57:23
"(storm, damaged, roof), (storm, uprooted, trees)",2025-05-18 23:39:00
"(athlete, won, gold medal), (athlete, celebrated, team)",2025-12-26 11:10:05
"(musician, played, guitar), (musician, sang, songs)",2025-10-14 08:19:56
"(gardener, planted, flowers), (gardener, watered, them)",2025-02-27 18:41:07
"(lawyer, defended, client), (lawyer, won, case)",2025-05-02 17:46:47
"(pilot, flew, plane), (pilot, returned, day)",2025-03-19 05:11:24
"(writer, published, novel), (writer, signed, copies), (copies, belong to, writer)",2025-07-22 09:01:07
"(engineer, designed, bridge), (engineer, supervised, construction)",2025-08-05 03:18:31
"(photographer, captured, image), (photographer, shared, it)",2025-03-14 17:44:12
"(baby, cried for, milk), (baby, fall asleep, crib)",2025-01-25 02:53:35
"(teacher, assigned, homework), (teacher, graded, papers)",2025-02-11 23:57:54
"(police, arrested, suspect), (police, took, suspect), (suspect, taken to, station)",2025-09-22 09:36:42
"(waiter, served, food), (waiter, cleaned, tables)",2025-11-01 21:27:36
"(driver, parked, car), (driver, went inside, house)",2025-10-21 06:50:20
"(actor, performed in, play), (actor, received, ovation)",2025-01-26 11:58:23
